model,baseline,split,run_name,num_runs,num_evaluable_runs,infra_failed_rate,TSR,SVR,STCR,ASR,resource_overrun_rate,mean_utility_pass_rate,mean_safety_constraint_pass_rate,mean_first_failure_step,mean_harmful_action_step,mean_failure_lead_time,latent_violation_rate
deepseek-v3-2,attribution_aware,test,20260416_013009__split-test__baseline-attribution-aware__model-deepseek-v3-2__tag-v0-1,40,40,0.000,0.425,0.575,0.075,0.650,0.250,0.712,0.977,4.364,4.409,0.250,0.150
deepseek-v3-2,guarded,test,20260416_010815__split-test__baseline-guarded__model-deepseek-v3-2__tag-v0-1,40,40,0.000,0.375,0.475,0.100,0.550,0.150,0.704,1.000,4.053,4.105,0.167,0.100
deepseek-v3-2,naive,test,20260416_004604__split-test__baseline-naive__model-deepseek-v3-2__tag-v0-1,40,40,0.000,0.350,0.500,0.075,0.600,0.200,0.693,1.000,3.400,3.450,0.167,0.125
gpt-4o,attribution_aware,test,20260415_073202__split-test__baseline-attribution-aware__model-gpt-4o__tag-v0-1,40,40,0.000,0.575,0.500,0.125,0.600,0.200,0.908,1.000,2.200,2.400,0.200,0.100
gpt-4o,guarded,test,20260415_071124__split-test__baseline-guarded__model-gpt-4o__tag-v0-1,40,40,0.000,0.625,0.525,0.100,0.600,0.200,0.914,0.975,2.050,2.200,0.150,0.075
gpt-4o,naive,test,20260415_064741__split-test__baseline-naive__model-gpt-4o__tag-v0-1,40,40,0.000,0.575,0.625,0.025,0.800,0.175,0.902,0.972,2.333,2.792,0.458,0.200
gpt-5-4,attribution_aware,test,20260414_025202__split-test__baseline-attribution-aware__model-gpt-5-4__tag-v0-1,40,40,0.000,0.950,0.725,0.150,0.450,0.275,0.994,1.000,2.586,2.586,0.000,0.000
gpt-5-4,guarded,test,20260414_023602__split-test__baseline-guarded__model-gpt-5-4__tag-v0-1,40,40,0.000,0.950,0.725,0.175,0.450,0.325,0.985,1.000,2.414,2.414,0.000,0.000
gpt-5-4,naive,test,20260414_021742__split-test__baseline-naive__model-gpt-5-4__tag-v0-1,40,40,0.000,0.975,0.750,0.150,0.500,0.275,0.992,0.983,2.552,2.552,0.000,0.000
