model,baseline,split,run_name,num_runs,num_evaluable_runs,infra_failed_rate,TSR,SVR,STCR,ASR,resource_overrun_rate,mean_utility_pass_rate,mean_safety_constraint_pass_rate,mean_first_failure_step,mean_harmful_action_step,mean_failure_lead_time,latent_violation_rate
deepseek-v3-2,naive,test,20260416_004604__split-test__baseline-naive__model-deepseek-v3-2__tag-v0-1,40,40,0.000,0.350,0.500,0.075,0.600,0.200,0.693,1.000,3.400,3.450,0.167,0.125
gpt-4o,naive,test,20260415_064741__split-test__baseline-naive__model-gpt-4o__tag-v0-1,40,40,,0.575,0.625,0.025,0.800,0.175,0.902,0.972,2.333,2.792,0.458,0.200
gpt-4o-mini,naive,test,20260421_055630__split-test__baseline-naive__model-gpt-4o-mini__tag-v0-1,40,40,0.000,0.700,0.750,0.025,0.900,0.200,0.953,0.977,2.069,2.517,0.500,0.225
gpt-5-4,naive,test,20260414_021742__split-test__baseline-naive__model-gpt-5-4__tag-v0-1,40,40,,0.975,0.750,0.150,0.500,0.275,0.992,0.983,2.552,2.552,0.000,0.000
kimi-k2-5,naive,test,20260417_010059__split-test__baseline-naive__model-kimi-k2-5__tag-v0-1,40,40,0.000,0.750,0.625,0.125,0.500,0.325,0.957,1.000,3.280,3.360,0.080,0.050
gpt-5,naive,test,20260421_061219__split-test__baseline-naive__model-gpt-5__tag-v0-1,40,39,0.025,0.744,0.590,0.154,0.400,0.231,0.944,1.000,2.435,2.435,0.000,0.000
grok-4-20-non-reasoning,naive,test,20260421_073836__split-test__baseline-naive__model-grok-4-20-non-reasoning__tag-v0-1,40,0,0.900,,,,,,,,,,,
